,num_protons,num_electrons,num_photons,reco_KE_protons,true_KE_protons,true_Einit_protons,reco_E_electrons,true_E_electrons,true_Einit_electrons,electron_is_contained,true_nu_energy,true_nu_interaction_type,true_topology,true_reco_E,true_Einit_sum,reco_reco_E
14,1,1,0,168.22097292522403,172.7495621945235,177.1275695558544,1579.9928874445693,1568.6962729627721,1441.963640640216,True,1.647724986076355,CCQE,1e1p,1741.4458351572957,1619.0912101960703,1748.2138603697933
15,1,1,0,66.68059721837055,66.68059721837055,65.24139095311591,2143.2697126318144,2134.3678162871397,2725.961097936637,False,3.038398027420044,CCQE,1e1p,2201.0484135055103,2791.202488889753,2209.950309850185
16,1,1,0,-1.0,37.67159049305821,33.92017528921281,2304.105571240718,2295.3618631672716,2344.324265160851,True,2.430950880050659,NuanceOffset,1e1p,2333.03345366033,2378.244440450064,2303.105571240718
17,0,1,0,0.0,0.0,0.0,1226.6848209256646,1250.3881226706715,1111.379899610352,True,1.455252766609192,CCQE,1e,1250.3881226706715,1111.379899610352,1226.6848209256646
18,1,1,0,143.86228325383524,143.86228325383524,146.1835157097504,1390.8221890999764,1374.9717533217026,1258.7208696392752,True,1.433333396911621,CCQE,1e1p,1518.834036575538,1404.9043853490257,1534.6844723538115
19,2,1,0,92.07280821998611,101.70716164381052,130.58678414682788,972.4044971152775,970.0870606908629,918.4154010867396,True,1.455252766609192,ResCCNuNeutronPiPlus,1e1pi2p,1071.7942223346733,1049.0021852335676,1064.4773053352637
20,3,1,0,341.48578350997997,339.6940333206854,420.2857825768242,683.6476848133136,683.6476848133136,807.2668212941624,False,1.2305558919906616,ResCCNuProtonPiPlus,1e3p,1023.3417181339989,1227.5526038709866,1025.1334683232935
21,0,1,2,0.0,0.0,0.0,189.05581550989626,193.1281122887305,166.08875455384492,True,2.283449411392212,NuanceOffset,2g1e1pi,193.1281122887305,166.08875455384492,189.05581550989626
22,2,1,2,342.176428222091,343.30291012740065,433.9536426265922,254.67393434617293,300.8133823615188,1300.3367778817708,False,3.405935525894165,CCDIS,2g1e2pi2p,644.1162924889195,1734.290420508363,596.8503625682639
23,2,1,0,247.61793329386532,248.4943467413367,263.0646087153441,500.31802676143394,494.47412284052945,472.07169897496186,False,1.48293137550354,ResCCNuNeutronPiPlus,1e2pi2p,742.9684695818662,735.136307690306,747.9359600552992
24,2,1,0,33.75599844336306,85.44744828434408,36.54716145116515,95.58845034499674,96.36450264696443,536.2278721833217,False,0.6882213950157166,CCQE,1e2p,181.8119509313085,572.7750336344868,129.3444487883598
25,1,1,0,75.30973056040091,82.62846226648772,83.27279824000516,1829.47609030759,1857.7274135957748,1628.9061245034327,False,1.7882797718048096,NuanceOffset,1e1p,1940.3558758622626,1712.1789227434379,1904.7858208679909
26,1,1,2,391.5976548169047,391.5976696631354,860.1024723103191,629.4365932622622,631.2411865012201,621.7717301010687,True,1.8822077512741089,ResCCNuNeutronPi0,2g1e1p,1022.8388561643555,1481.8742024113876,1021.0342480791669
27,0,1,0,0.0,0.0,0.0,2216.086775250371,2192.6215533782847,2207.7293016130684,False,3.756037950515747,CCDIS,1e,2192.6215533782847,2207.7293016130684,2216.086775250371
28,0,1,0,0.0,0.0,0.0,248.60779112854553,243.29452838603373,239.26743262435627,True,1.8155049085617063,NuanceOffset,1e,243.29452838603373,239.26743262435627,248.60779112854553
